# key	provider	plan hint(sub|local|-)  scripts/gen-prices.py
*-aiplatform.googleapis.com	google-vertex	-
*.amazonaws.com	amazon-bedrock	-
*.api.aws	amazon-bedrock	-
*.azure-api.net	azure	-
*.cognitiveservices.azure.com	azure	-
*.openai.azure.com	azure	-
*.services.ai.azure.com	azure	-
*.snowflakecomputing.com	snowflake-cortex	-
302ai	302ai	-
9router	9router	-
abacus	abacus	-
abliteration-ai	abliteration-ai	-
above	above	-
agentrouter	agentrouter	-
agentrouter.org	agentrouter	-
agnes	agnes	-
ai-gateway.helicone.ai	helicone	-
ai-gateway.vercel.sh	vercel	-
ai-router	ai-router	-
ai.zenifra.com	zenifra	-
ai21	ai21	-
aiand	aiand	-
aihubmix	aihubmix	-
ainetcafe	ainetcafe	-
aiplatform.googleapis.com	google-vertex	-
aixy	aixy	-
aki-io	aki-io	-
aki.io	aki-io	-
alibaba	alibaba	-
alibaba-cn	alibaba-cn	-
alibaba-coding-plan	alibaba-coding-plan	sub
alibaba-coding-plan-cn	alibaba-coding-plan-cn	sub
alibaba-token-plan	alibaba-token-plan	sub
alibaba-token-plan-cn	alibaba-token-plan-cn	sub
amazon-bedrock	amazon-bedrock	-
ambient	ambient	-
amd	amd	-
anthropic	anthropic	-
anyapi	anyapi	-
api-gateway.merge.dev	merge-gateway	-
api-gateway.merge.dev/v1/ai-sdk	merge-gateway	-
api-gw.klok.ipaas.se	klokintegration	-
api-gw.klok.ipaas.se/proxy/kloker-key	klokintegration	-
api-inference.modelscope.cn	modelscope	-
api-sherlock.cloudferro.com	cloudferro-sherlock	-
api-sherlock.cloudferro.com/openai	cloudferro-sherlock	-
api.302.ai	302ai	-
api.abliteration.ai	abliteration-ai	-
api.above.dev	above	-
api.ai-router.dev	ai-router	-
api.ai21.com	ai21	-
api.ai21.com/studio	ai21	-
api.aiand.com	aiand	-
api.aixy-gateway.com	aixy	-
api.ambient.xyz	ambient	-
api.anthropic.com	anthropic	-
api.anyapi.ai	anyapi	-
api.arcee.ai	arcee	-
api.arcee.ai/api	arcee	-
api.auriko.ai	auriko	-
api.berget.ai	berget	-
api.cerebras.ai	cerebras	-
api.clarifai.com	clarifai	-
api.clarifai.com/v2/ext/openai	clarifai	-
api.claudin.io	claudinio	-
api.cline.bot	cline-pass	sub
api.cline.bot/api	cline-pass	sub
api.cloudflare.com	cloudflare-workers-ai	-
api.code.umans.ai	umans-ai	-
api.cohere.ai	cohere	-
api.cohere.ai/compatibility	cohere	-
api.cohere.com	cohere	-
api.cortecs.ai	cortecs	-
api.crossmodel.ai	crossmodel	-
api.deepinfra.com	deepinfra	-
api.deepseek.com	deepseek	-
api.dinference.com	dinference	-
api.edenai.run	edenai	-
api.empiriolabs.ai	empiriolabs	-
api.fireworks.ai	fireworks-ai	-
api.fireworks.ai/inference	fireworks-ai	-
api.freemodel.dev	freemodel	-
api.friendli.ai	friendli	-
api.friendli.ai/serverless	friendli	-
api.getlilac.com	lilac	-
api.githubcopilot.com	github-copilot	sub
api.gmi-serving.com	gmicloud	-
api.greenpt.ai	greenpt	-
api.groq.com	groq	-
api.hpc-ai.com	hpc-ai	-
api.hpc-ai.com/inference	hpc-ai	-
api.impossibl.com	impossibl	-
api.inceptionlabs.ai	inception	-
api.inceptron.io	inceptron	-
api.inco.ai	inco	-
api.inference.crusoecloud.com	crusoe	-
api.inference.wandb.ai	wandb	-
api.infomaniak.com	infomaniak	-
api.intelligence.io.solutions	io-net	-
api.intelligence.io.solutions/api	io-net	-
api.iteracompute.com	iteracompute	-
api.jalapeno-cloud.ai	jalapeno	-
api.jiekou.ai	jiekou	-
api.jiekou.ai/openai	jiekou	-
api.kilo.ai	kilo	-
api.kilo.ai/api/gateway	kilo	-
api.kimi.ai	kimi-code-plan-global	-
api.kimi.ai/coding	kimi-code-plan-global	sub
api.kimi.com	kimi-code-plan-cn	-
api.kimi.com/coding	kimi-code-plan-cn	sub
api.koscompute.com	kosmik	-
api.lab.vispark.in	vispark	-
api.lkeap.cloud.tencent.com	tencent-token-plan	-
api.lkeap.cloud.tencent.com/coding	tencent-coding-plan	sub
api.lkeap.cloud.tencent.com/plan	tencent-token-plan	sub
api.llama.com	llama	-
api.llama.com/compat	llama	-
api.llmgateway.io	llmgateway	-
api.llmtech.eu	llmtech	-
api.longcat.chat	longcat	-
api.longcat.chat/openai	longcat	-
api.lucidquery.com	lucidquery	-
api.meganova.ai	meganova	-
api.melious.ai	melious	-
api.meta.ai	meta	-
api.minimax.cn	minimax-cn	-
api.minimax.cn/anthropic	minimax-cn	-
api.minimax.io	minimax	-
api.minimax.io/anthropic	minimax	-
api.mistral.ai	mistral	-
api.modeloracle.com	model-oracle-ai	-
api.modeloracle.com/api	model-oracle-ai	-
api.moonshot.ai	moonshotai	-
api.moonshot.cn	moonshotai-cn	-
api.morphllm.com	morph	-
api.nan.builders	nan	-
api.neuralwatt.com	neuralwatt	-
api.nova.amazon.com	nova	-
api.novita.ai	novita-ai	-
api.novita.ai/openai	novita-ai	-
api.ofox.ai	ofox	-
api.ofox.ai/anthropic	ofox	-
api.ofox.ai/gemini	ofox	-
api.openai-compat.model-serving.eu01.onstackit.cloud	stackit	-
api.openai.com	openai	-
api.openreason.app	openreason	-
api.opper.ai	opper	-
api.opper.ai/v3/compat	opper	-
api.orcarouter.ai	orcarouter	-
api.pendra.ai	pendra	-
api.pendra.ai/api	pendra	-
api.perplexity.ai	perplexity	-
api.pioneer.ai	pioneer	-
api.poe.com	poe	-
api.qhaigc.net	qihang-ai	-
api.qnaigc.com	qiniu-ai	-
api.regolo.ai	regolo-ai	-
api.routing.run	routing-run	-
api.runinfra.ai	runinfra	-
api.sakana.ai	sakana	-
api.sarvam.ai	sarvam	-
api.scaleway.ai	scaleway	-
api.scnet.cn	scnet-token-plan	-
api.scnet.cn/api/llm	scnet-token-plan	sub
api.scx.ai	scx-ai	-
api.siliconflow.cn	siliconflow-cn	-
api.siliconflow.com	siliconflow	-
api.stdcmpt.com	standardcompute	-
api.stepfun.ai	stepfun-ai	-
api.stepfun.ai/step_plan	stepfun-ai-step-plan	sub
api.stepfun.com	stepfun	-
api.stepfun.com/step_plan	stepfun-step-plan	sub
api.studio.nebius.ai	nebius	-
api.subconscious.dev	subconscious	-
api.synthetic.new	synthetic	-
