# 손본 경로 행. 생성 행을 이긴다(스펙 7.1-7.2). 행마다 공식 문서 링크를 PR 본문에 적는다.
# key	provider	plan hint(sub|local|-)
# key: host/경로 접두, *접미(호스트가 이것으로 끝남), 또는 맨 id(벤더만 아는 세션)
# 첫 내용: data-proposal.md 4.5절 70행 표
api.anthropic.com	anthropic	-
api.openai.com	openai	-
chatgpt.com/backend-api/codex	openai	sub
generativelanguage.googleapis.com	google	-
cloudcode-pa.googleapis.com	google	sub
aiplatform.googleapis.com	google-vertex	-
*-aiplatform.googleapis.com	google-vertex	-
*.amazonaws.com	amazon-bedrock	-
*.api.aws	amazon-bedrock	-
*.openai.azure.com	azure	-
*.services.ai.azure.com	azure	-
*.cognitiveservices.azure.com	azure	-
*.azure-api.net	azure	-
api.x.ai	xai	-
cli-chat-proxy.grok.com	xai	sub
api.deepseek.com	deepseek	-
api.z.ai	zai	-
api.z.ai/api/coding/paas	zai-coding-plan	sub
zcode.z.ai	zai-coding-plan	sub
open.bigmodel.cn	zhipuai	-
open.bigmodel.cn/api/coding/paas	zhipuai-coding-plan	sub
api.moonshot.ai	moonshotai	-
api.moonshot.cn	moonshotai-cn	-
api.kimi.com/coding	kimi-code-plan-cn	sub
api.kimi.ai/coding	kimi-code-plan-global	sub
api.minimax.io	minimax	-
api.minimax.cn	minimax-cn	-
dashscope-intl.aliyuncs.com	alibaba	-
dashscope.aliyuncs.com	alibaba-cn	-
coding-intl.dashscope.aliyuncs.com	alibaba-coding-plan	sub
coding.dashscope.aliyuncs.com	alibaba-coding-plan-cn	sub
token-plan.ap-southeast-1.maas.aliyuncs.com	alibaba-token-plan	sub
token-plan.cn-beijing.maas.aliyuncs.com	alibaba-token-plan-cn	sub
ark.cn-beijing.volces.com/api	volcengine	-
ark.cn-beijing.volces.com/api/coding	volcengine-coding-plan	sub
api.siliconflow.com	siliconflow	-
api.siliconflow.cn	siliconflow-cn	-
api.xiaomimimo.com	xiaomi	-
token-plan-ams.xiaomimimo.com	xiaomi-token-plan-ams	sub
token-plan-cn.xiaomimimo.com	xiaomi-token-plan-cn	sub
token-plan-sgp.xiaomimimo.com	xiaomi-token-plan-sgp	sub
api.stepfun.ai	stepfun-ai	-
api.stepfun.com	stepfun	-
api.stepfun.ai/step_plan	stepfun-ai-step-plan	sub
api.stepfun.com/step_plan	stepfun-step-plan	sub
api.lkeap.cloud.tencent.com/coding	tencent-coding-plan	sub
apis.iflow.cn	iflowcn	-
api-inference.modelscope.cn	modelscope	-
api.longcat.chat	longcat	-
api.qnaigc.com	qiniu-ai	-
openrouter.ai	openrouter	-
api.githubcopilot.com	github-copilot	sub
opencode.ai/zen	opencode	-
opencode.ai/zen/go	opencode-go	-
api.kilo.ai	kilo	-
api.cline.bot	cline-pass	sub
ai-gateway.vercel.sh	vercel	-
gateway.ai.cloudflare.com	cloudflare-ai-gateway	-
router.requesty.ai	requesty	-
zenmux.ai	zenmux	-
api.mistral.ai	mistral	-
codestral.mistral.ai	mistral	-
api.groq.com	groq	-
api.cerebras.ai	cerebras	-
api.together.xyz	togetherai	-
api.fireworks.ai	fireworks-ai	-
api.deepinfra.com	deepinfra	-
integrate.api.nvidia.com	nvidia	-
api.tokenfactory.nebius.com	nebius	-
api.studio.nebius.ai	nebius	-
router.huggingface.co	huggingface	-
ollama.com	ollama-cloud	-
api.novita.ai	novita-ai	-
llm.chutes.ai	chutes	-
inference.baseten.co	baseten	-
api.perplexity.ai	perplexity	-
api.cohere.com	cohere	-
api.cohere.ai	cohere	-
api.venice.ai	venice	-
api.302.ai	302ai	-
api.poe.com	poe	-
api.synthetic.new	synthetic	-
api.llmgateway.io	llmgateway	-
# 맨 id
dots	dots	-
9router	9router	-
ollama	local	local
lmstudio	local	local
oss	local	local
github-copilot	github-copilot	sub
opencode-go	opencode-go	-
bedrock	amazon-bedrock	-
vertex	google-vertex	-
